intent,output,has_slots,next_intent
getexecutions,,True,api
getexecutionsperidscriptkeyexecutions,,True,api
getexecutionsperidscriptkeyexecutionsversionintversion,,True,api
getexecutionsperstate,,True,api
getexecutionssummary,,True,api
getexecutionssummarybytenant,,True,api
getlogstagesperexecution,,True,api
getlogsperexecution,,True,api
getoutputvarsperexecution,,True,api
getstatus,,True,api
getgetscripts,,True,api
getgetpackagebyidandversion,,True,api
getscriptbyid,,True,api
getscriptanalyze,,False,api
getexternalscriptrepo,,True,api
getabout,,False,api
gethealth,,False,api
getscripttypes,,False,api
api,"getExecutions,getExecutionsPerId/script/<key>/executions,getExecutionsPerId/script/<key>/executions/version/<intVersion>,getExecutionsPerState,getExecutionsSummary,getExecutionsSummaryByTenant,getLogStagesPerExecution,getLogsPerExecution,getOutputVarsPerExecution,getStatus,getGetScripts,getGetPackageByIdAndVersion,getScriptById,getScriptAnalyze,getExternalScriptRepo,getAbout,getHealth,getScriptTypes",False,
