Sentence #,Word,Tag
1,give,0
1,me,0
1,report,0
1,for,0
1,last,0
1,hour,unit
2,give,0
2,me,0
2,report,0
2,for,0
2,last,0
2,hr,unit
3,give,0
3,me,0
3,report,0
3,for,0
3,last,0
3,day,unit
4,give,0
4,me,0
4,report,0
4,for,0
4,last,0
4,days,unit
5,give,0
5,me,0
5,report,0
5,for,0
5,last,0
5,week,unit
6,give,0
6,me,0
6,report,0
6,for,0
6,last,0
6,weeks,unit
7,give,0
7,me,0
7,report,0
7,for,0
7,last,0
7,month,unit
8,give,0
8,me,0
8,report,0
8,for,0
8,last,0
8,months,unit
9,give,0
9,me,0
9,report,0
9,for,0
9,last,0
9,year,unit
10,give,0
10,me,0
10,report,0
10,for,0
10,last,0
10,years,unit
11,give,0
11,me,0
11,report,0
11,for,0
11,last,0
11,hour,unit
12,give,0
12,me,0
12,report,0
12,for,0
12,last,0
12,hr,unit
13,give,0
13,me,0
13,report,0
13,for,0
13,last,0
13,day,unit
14,give,0
14,me,0
14,report,0
14,for,0
14,last,0
14,days,unit
15,give,0
15,me,0
15,report,0
15,for,0
15,last,0
15,week,unit
16,give,0
16,me,0
16,report,0
16,for,0
16,last,0
16,weeks,unit
17,give,0
17,me,0
17,report,0
17,for,0
17,last,0
17,month,unit
18,give,0
18,me,0
18,report,0
18,for,0
18,last,0
18,months,unit
19,give,0
19,me,0
19,report,0
19,for,0
19,last,0
19,year,unit
20,give,0
20,me,0
20,report,0
20,for,0
20,last,0
20,years,unit
21,give,0
21,me,0
21,report,0
21,for,0
21,last,0
21,hour,unit
22,give,0
22,me,0
22,report,0
22,for,0
22,last,0
22,hr,unit
23,give,0
23,me,0
23,report,0
23,for,0
23,last,0
23,day,unit
24,give,0
24,me,0
24,report,0
24,for,0
24,last,0
24,days,unit
25,give,0
25,me,0
25,report,0
25,for,0
25,last,0
25,week,unit
26,give,0
26,me,0
26,report,0
26,for,0
26,last,0
26,weeks,unit
27,give,0
27,me,0
27,report,0
27,for,0
27,last,0
27,month,unit
28,give,0
28,me,0
28,report,0
28,for,0
28,last,0
28,months,unit
29,give,0
29,me,0
29,report,0
29,for,0
29,last,0
29,year,unit
30,give,0
30,me,0
30,report,0
30,for,0
30,last,0
30,years,unit
31,give,0
31,me,0
31,report,0
31,for,0
31,last,0
31,hour,unit
32,give,0
32,me,0
32,report,0
32,for,0
32,last,0
32,hr,unit
33,give,0
33,me,0
33,report,0
33,for,0
33,last,0
33,day,unit
34,give,0
34,me,0
34,report,0
34,for,0
34,last,0
34,days,unit
35,give,0
35,me,0
35,report,0
35,for,0
35,last,0
35,week,unit
36,give,0
36,me,0
36,report,0
36,for,0
36,last,0
36,weeks,unit
37,give,0
37,me,0
37,report,0
37,for,0
37,last,0
37,month,unit
38,give,0
38,me,0
38,report,0
38,for,0
38,last,0
38,months,unit
39,give,0
39,me,0
